일자, 영업소명, 방향구분,영업소코드, 기점종점방향구분코드, 당일교통량, 전주교통량, 전전주교통량, 전월평균교통량, 전년동주교통량, 전년평균교통량
20190102,구리남양주,서울방향,6,2,93775,98074,99906,96135,0,99867
20190103,구리남양주,서울방향,6,2,98413,97745,100088,96135,0,99867
20190104,구리남양주,서울방향,6,2,101327,103745,107940,96135,0,99867
20190105,구리남양주,서울방향,6,2,92325,90912,99186,96135,0,99867
20190106,구리남양주,서울방향,6,2,71582,74171,78815,96135,0,99867
20190107,구리남양주,서울방향,6,2,96677,94897,100320,96135,78055,99867
20190108,구리남양주,서울방향,6,2,97830,76135,74156,96135,92503,99867
20190109,구리남양주,서울방향,6,2,97675,93775,98074,96135,97818,99867
20190110,구리남양주,서울방향,6,2,98796,98413,97745,96135,98222,99867
20190101,구리남양주,서울방향,6,2,76135,74156,100629,96135,0,99867
20190101,구리남양주,지방방향,6,3,80471,78737,89651,93967,0,95734
20190102,구리남양주,지방방향,6,3,95703,96177,96155,93967,0,95734
20190112,구리남양주,서울방향,6,2,93319,92325,90912,96135,93156,99867
20190103,구리남양주,지방방향,6,3,98161,100521,96576,93967,0,95734
20190104,구리남양주,지방방향,6,3,105139,103824,105712,93967,0,95734
20190105,구리남양주,지방방향,6,3,96360,94551,99504,93967,0,95734
20190115,구리남양주,서울방향,6,2,98782,97830,76135,96135,93439,99867
20190106,구리남양주,지방방향,6,3,77658,79352,84286,93967,0,95734
20190107,구리남양주,지방방향,6,3,98042,98583,101706,93967,77987,95734
20190117,구리남양주,서울방향,6,2,96904,98796,98413,96135,94480,99867
20190108,구리남양주,지방방향,6,3,98654,80471,78737,93967,93740,95734
20190109,구리남양주,지방방향,6,3,98734,95703,96177,93967,96776,95734
20190110,구리남양주,지방방향,6,3,99364,98161,100521,93967,96647,95734
20190120,구리남양주,서울방향,6,2,77438,76129,71582,96135,73448,99867
20190111,구리남양주,서울방향,6,2,104116,101327,103745,96135,103751,99867
20190111,구리남양주,지방방향,6,3,107550,105139,103824,93967,102615,95734
20190112,구리남양주,지방방향,6,3,98437,96360,94551,93967,92846,95734
20190122,구리남양주,서울방향,6,2,99958,98782,97830,96135,98810,99867
20190113,구리남양주,서울방향,6,2,76129,71582,74171,96135,71084,99867
20190113,구리남양주,지방방향,6,3,82428,77658,79352,93967,74068,95734
20190114,구리남양주,서울방향,6,2,96540,96677,94897,96135,93023,99867
20190114,구리남양주,지방방향,6,3,98293,98042,98583,93967,92624,95734
20190115,구리남양주,지방방향,6,3,99699,98654,80471,93967,92741,95734
20190116,구리남양주,서울방향,6,2,98646,97675,93775,96135,93010,99867
20190116,구리남양주,지방방향,6,3,97922,98734,95703,93967,92542,95734
20190117,구리남양주,지방방향,6,3,96439,99364,98161,93967,93205,95734
20190118,구리남양주,서울방향,6,2,104345,104116,101327,96135,99351,99867
20190118,구리남양주,지방방향,6,3,103145,107550,105139,93967,97179,95734
20190128,구리남양주,서울방향,6,2,99147,96914,96540,96135,92982,99867
20190119,구리남양주,서울방향,6,2,95472,93319,92325,96135,91113,99867
20190119,구리남양주,지방방향,6,3,99330,98437,96360,93967,92302,95734
20190129,구리남양주,서울방향,6,2,103172,99958,98782,96135,92940,99867
20190120,구리남양주,지방방향,6,3,83393,82428,77658,93967,76657,95734
20190130,구리남양주,서울방향,6,2,103845,99988,98646,96135,93953,99867
20190121,구리남양주,서울방향,6,2,96914,96540,96677,96135,95818,99867
20190121,구리남양주,지방방향,6,3,98528,98293,98042,93967,94203,95734
20190122,구리남양주,지방방향,6,3,96562,99699,98654,93967,97477,95734
20190123,구리남양주,서울방향,6,2,99988,98646,97675,96135,98368,99867
20190123,구리남양주,지방방향,6,3,98829,97922,98734,93967,96683,95734
20190124,구리남양주,서울방향,6,2,100857,96904,98796,96135,98304,99867
20190124,구리남양주,지방방향,6,3,98897,96439,99364,93967,98234,95734
20190125,구리남양주,서울방향,6,2,105430,104345,104116,96135,105409,99867
20190125,구리남양주,지방방향,6,3,105084,103145,107550,93967,103456,95734
20190126,구리남양주,서울방향,6,2,97852,95472,93319,96135,98716,99867
20190126,구리남양주,지방방향,6,3,100347,99330,98437,93967,95561,95734
20190205,구리남양주,서울방향,6,2,107602,103172,99958,95783,93120,99867
20190127,구리남양주,서울방향,6,2,78383,77438,76129,96135,76496,99867
20190127,구리남양주,지방방향,6,3,84983,83393,82428,93967,79383,95734
20190128,구리남양주,지방방향,6,3,99146,98528,98293,93967,93583,95734
20190129,구리남양주,지방방향,6,3,98897,96562,99699,93967,91385,95734
20190130,구리남양주,지방방향,6,3,100996,98829,97922,93967,92171,95734
20190209,구리남양주,서울방향,6,2,91750,87578,97852,95783,96849,99867
20190131,구리남양주,서울방향,6,2,104044,100857,96904,96135,95029,99867
20190131,구리남양주,지방방향,6,3,104024,98897,96439,93967,89175,95734
20190210,구리남양주,서울방향,6,2,71014,68639,78383,95783,73811,99867
20190201,구리남양주,서울방향,6,2,107425,105430,104345,95783,101195,99867
20190201,구리남양주,지방방향,6,3,106745,105084,103145,97101,96745,95734
20190202,구리남양주,서울방향,6,2,87578,97852,95472,95783,93103,99867
20190202,구리남양주,지방방향,6,3,99243,100347,99330,97101,90797,95734
20190212,구리남양주,서울방향,6,2,101382,107602,103172,95783,96977,99867
20190203,구리남양주,서울방향,6,2,68639,78383,77438,95783,73051,99867
20190203,구리남양주,지방방향,6,3,83008,84983,83393,97101,76649,95734
20190213,구리남양주,서울방향,6,2,101789,106639,103845,95783,98457,99867
20190204,구리남양주,서울방향,6,2,86215,99147,96914,95783,93794,99867
20190204,구리남양주,지방방향,6,3,88755,99146,98528,97101,96505,95734
20190214,구리남양주,서울방향,6,2,103050,94595,104044,95783,103107,99867
20190205,구리남양주,지방방향,6,3,94421,98897,96562,97101,93059,95734
20190215,구리남양주,서울방향,6,2,98932,101230,107425,95783,110182,99867
20190206,구리남양주,서울방향,6,2,106639,103845,99988,95783,95825,99867
20190206,구리남양주,지방방향,6,3,85594,100996,98829,97101,91943,95734
20190216,구리남양주,서울방향,6,2,96314,91750,87578,95783,99181,99867
20190207,구리남양주,서울방향,6,2,94595,104044,100857,95783,100131,99867
20190207,구리남양주,지방방향,6,3,94067,104024,98897,97101,93434,95734
20190208,구리남양주,서울방향,6,2,101230,107425,105430,95783,104659,99867
20190208,구리남양주,지방방향,6,3,102039,106745,105084,97101,103910,95734
20190218,구리남양주,서울방향,6,2,101693,97357,86215,95783,103504,99867
20190209,구리남양주,지방방향,6,3,94711,99243,100347,97101,94877,95734
20190210,구리남양주,지방방향,6,3,75895,83008,84983,97101,76993,95734
20190220,구리남양주,서울방향,6,2,102968,101789,106639,95783,104083,99867
20190211,구리남양주,서울방향,6,2,97357,86215,99147,95783,17051,99867
20190211,구리남양주,지방방향,6,3,99099,88755,99146,97101,19372,95734
20190212,구리남양주,지방방향,6,3,99116,94421,98897,97101,95954,95734
20190213,구리남양주,지방방향,6,3,101841,85594,100996,97101,96738,95734
20190223,구리남양주,서울방향,6,2,100874,96314,91750,95783,98473,99867
20190214,구리남양주,지방방향,6,3,99547,94067,104024,97101,99570,95734
20190215,구리남양주,지방방향,6,3,91791,102039,106745,97101,106413,95734
20190216,구리남양주,지방방향,6,3,97808,94711,99243,97101,97635,95734
20190217,구리남양주,서울방향,6,2,77311,71014,68639,95783,74396,99867
20190217,구리남양주,지방방향,6,3,83813,75895,83008,97101,77247,95734
20190227,구리남양주,서울방향,6,2,107129,102968,101789,95783,102934,99867
20190218,구리남양주,지방방향,6,3,98625,99099,88755,97101,97010,95734
20190228,구리남양주,서울방향,6,2,111292,104839,103050,95783,103933,99867
20190219,구리남양주,서울방향,6,2,84584,101382,107602,95783,106362,99867
20190219,구리남양주,지방방향,6,3,82858,99116,94421,97101,97357,95734
20190220,구리남양주,지방방향,6,3,101450,101841,85594,97101,105632,95734
20190302,구리남양주,서울방향,6,2,98548,100874,96314,98195,101223,99867
20190221,구리남양주,서울방향,6,2,104839,103050,94595,95783,86819,99867
20190221,구리남양주,지방방향,6,3,99749,99547,94067,97101,98684,95734
20190222,구리남양주,서울방향,6,2,110239,98932,101230,95783,103040,99867
20190222,구리남양주,지방방향,6,3,103034,91791,102039,97101,92595,95734
20190223,구리남양주,지방방향,6,3,97351,97808,94711,97101,84040,95734
20190224,구리남양주,서울방향,6,2,84768,77311,71014,95783,81009,99867
20190224,구리남양주,지방방향,6,3,90718,83813,75895,97101,74047,95734
20190306,구리남양주,서울방향,6,2,102317,107129,102968,98195,104728,99867
20190225,구리남양주,서울방향,6,2,103054,101693,97357,95783,98511,99867
20190225,구리남양주,지방방향,6,3,101836,98625,99099,97101,96402,95734
20190226,구리남양주,서울방향,6,2,104340,84584,101382,95783,101542,99867
20190226,구리남양주,지방방향,6,3,100131,82858,99116,97101,95189,95734
20190227,구리남양주,지방방향,6,3,101637,101450,101841,97101,96324,95734
20190228,구리남양주,지방방향,6,3,103774,99749,99547,97101,97021,95734
20190301,구리남양주,서울방향,6,2,98291,110239,98932,98195,106123,99867
20190301,구리남양주,지방방향,6,3,100901,103034,91791,96739,98989,95734
20190302,구리남양주,지방방향,6,3,95021,97351,97808,96739,100174,95734
20190312,구리남양주,서울방향,6,2,101214,101414,104340,98195,102095,99867
20190303,구리남양주,서울방향,6,2,87397,84768,77311,98195,80424,99867
20190303,구리남양주,지방방향,6,3,83432,90718,83813,96739,84128,95734
20190313,구리남양주,서울방향,6,2,102482,102317,107129,98195,102652,99867
20190304,구리남양주,서울방향,6,2,99660,103054,101693,98195,103176,99867
20190304,구리남양주,지방방향,6,3,100332,101836,98625,96739,98762,95734
20190314,구리남양주,서울방향,6,2,104964,104345,111292,98195,98177,99867
20190305,구리남양주,서울방향,6,2,101414,104340,84584,98195,106476,99867
20190305,구리남양주,지방방향,6,3,99157,100131,82858,96739,97132,95734
20190315,구리남양주,서울방향,6,2,16732,108298,98291,98195,108120,99867
20190306,구리남양주,지방방향,6,3,99419,101637,101450,96739,96061,95734
20190307,구리남양주,서울방향,6,2,104345,111292,104839,98195,88044,99867
20190307,구리남양주,지방방향,6,3,100480,103774,99749,96739,87756,95734
20190317,구리남양주,서울방향,6,2,82888,79329,87397,98195,83730,99867
20190308,구리남양주,서울방향,6,2,108298,98291,110239,98195,103559,99867
20190308,구리남양주,지방방향,6,3,104655,100901,103034,96739,106032,95734
20190318,구리남양주,서울방향,6,2,100218,100211,99660,98195,101133,99867
20190309,구리남양주,서울방향,6,2,101634,98548,100874,98195,99335,99867
20190309,구리남양주,지방방향,6,3,101378,95021,97351,96739,99657,95734
20190319,구리남양주,서울방향,6,2,103991,101214,101414,98195,104346,99867
20190310,구리남양주,서울방향,6,2,79329,87397,84768,98195,76925,99867
20190310,구리남양주,지방방향,6,3,84641,83432,90718,96739,78375,95734
20190320,구리남양주,서울방향,6,2,101392,102482,102317,98195,105512,99867
20190311,구리남양주,서울방향,6,2,100211,99660,103054,98195,96210,99867
20190311,구리남양주,지방방향,6,3,99363,100332,101836,96739,91062,95734
20190321,구리남양주,서울방향,6,2,100361,104964,104345,98195,97381,99867
20190312,구리남양주,지방방향,6,3,96698,99157,100131,96739,98115,95734
20190322,구리남양주,서울방향,6,2,110216,16732,108298,98195,109929,99867
20190313,구리남양주,지방방향,6,3,102023,99419,101637,96739,98420,95734
20190314,구리남양주,지방방향,6,3,102330,100480,103774,96739,90374,95734
20190324,구리남양주,서울방향,6,2,84673,82888,79329,98195,84651,99867
20190315,구리남양주,지방방향,6,3,17523,104655,100901,96739,102522,95734
20190325,구리남양주,서울방향,6,2,99929,100218,100211,98195,99699,99867
20190316,구리남양주,서울방향,6,2,17181,101634,98548,98195,102984,99867
20190316,구리남양주,지방방향,6,3,17829,101378,95021,96739,101323,95734
20190317,구리남양주,지방방향,6,3,88992,84641,83432,96739,85660,95734
20190318,구리남양주,지방방향,6,3,99906,99363,100332,96739,96734,95734
20190319,구리남양주,지방방향,6,3,99072,96698,99157,96739,99646,95734
20190320,구리남양주,지방방향,6,3,98045,102023,99419,96739,102511,95734
20190330,구리남양주,서울방향,6,2,100150,98807,17181,98195,104380,99867
20190321,구리남양주,지방방향,6,3,97714,102330,100480,96739,88582,95734
20190331,구리남양주,서울방향,6,2,86776,84673,82888,98195,86922,99867
20190322,구리남양주,지방방향,6,3,106937,17523,104655,96739,105001,95734
20190323,구리남양주,서울방향,6,2,98807,17181,101634,98195,103509,99867
20190323,구리남양주,지방방향,6,3,97313,17829,101378,96739,101659,95734
20190324,구리남양주,지방방향,6,3,85889,88992,84641,96739,86723,95734
20190403,구리남양주,서울방향,6,2,103697,104597,101392,94158,105107,99867
20190325,구리남양주,지방방향,6,3,100450,99906,99363,96739,92787,95734
20190326,구리남양주,서울방향,6,2,104928,103991,101214,98195,103492,99867
20190326,구리남양주,지방방향,6,3,98660,99072,96698,96739,97579,95734
20190327,구리남양주,서울방향,6,2,104597,101392,102482,98195,103031,99867
20190327,구리남양주,지방방향,6,3,102158,98045,102023,96739,98697,95734
20190406,구리남양주,서울방향,6,2,103473,100150,98807,94158,105464,99867
20190328,구리남양주,서울방향,6,2,104968,100361,104964,98195,104178,99867
20190328,구리남양주,지방방향,6,3,101767,97714,102330,96739,97213,95734
20190329,구리남양주,서울방향,6,2,111012,110216,16732,98195,110509,99867
20190329,구리남양주,지방방향,6,3,108004,106937,17523,96739,103870,95734
