"기준일(발병일, 확진일 선택)",레코드 수
2020. 9. 24.,27
2020. 9. 23.,45
2020. 9. 22.,32
2020. 9. 21.,17
2020. 9. 20.,19
2020. 9. 19.,25
2020. 9. 18.,43
2020. 9. 17.,37
2020. 9. 16.,55
2020. 9. 15.,28
2020. 9. 14.,32
2020. 9. 13.,32
2020. 9. 12.,37
2020. 9. 11.,29
2020. 9. 10.,47
2020. 9. 9.,52
2020. 9. 8.,46
2020. 9. 7.,38
2020. 9. 6.,32
2020. 9. 5.,48
2020. 9. 4.,44
2020. 9. 3.,52
2020. 9. 2.,66
2020. 9. 1.,86
2020. 8. 31.,61
2020. 8. 30.,64
2020. 8. 29.,87
2020. 8. 28.,99
2020. 8. 27.,122
2020. 8. 26.,97
2020. 8. 25.,87
2020. 8. 24.,66
2020. 8. 23.,74
2020. 8. 22.,124
2020. 8. 21.,102
2020. 8. 20.,106
2020. 8. 19.,100
2020. 8. 18.,91
2020. 8. 17.,57
2020. 8. 16.,75
2020. 8. 15.,78
2020. 8. 14.,111
2020. 8. 13.,42
2020. 8. 12.,22
2020. 8. 11.,19
2020. 8. 10.,10
2020. 8. 9.,5
2020. 8. 8.,17
2020. 8. 7.,17
2020. 8. 6.,7
2020. 8. 5.,13
2020. 8. 4.,5
2020. 8. 3.,8
2020. 8. 2.,2
2020. 8. 1.,3
2020. 7. 31.,10
2020. 7. 30.,11
2020. 7. 29.,6
2020. 7. 28.,8
2020. 7. 27.,5
2020. 7. 26.,10
2020. 7. 25.,7
2020. 7. 24.,13
2020. 7. 23.,7
2020. 7. 22.,21
2020. 7. 21.,20
2020. 7. 20.,5
2020. 7. 19.,1
2020. 7. 18.,2
2020. 7. 17.,10
2020. 7. 16.,16
2020. 7. 15.,17
2020. 7. 14.,11
2020. 7. 13.,10
2020. 7. 12.,8
2020. 7. 11.,12
2020. 7. 10.,12
2020. 7. 9.,14
2020. 7. 8.,8
2020. 7. 7.,18
2020. 7. 6.,11
2020. 7. 5.,8
2020. 7. 4.,8
2020. 7. 3.,18
2020. 7. 2.,19
2020. 7. 1.,9
2020. 6. 30.,16
2020. 6. 29.,7
2020. 6. 28.,15
2020. 6. 27.,17
2020. 6. 26.,18
2020. 6. 25.,6
2020. 6. 24.,6
2020. 6. 23.,9
2020. 6. 22.,5
2020. 6. 21.,5
2020. 6. 20.,13
2020. 6. 19.,17
2020. 6. 18.,11
2020. 6. 17.,14
2020. 6. 16.,15
2020. 6. 15.,5
2020. 6. 14.,8
2020. 6. 13.,11
2020. 6. 12.,14
2020. 6. 11.,18
2020. 6. 10.,13
2020. 6. 9.,25
2020. 6. 8.,14
2020. 6. 7.,8
2020. 6. 6.,19
2020. 6. 5.,7
2020. 6. 4.,12
2020. 6. 3.,14
2020. 6. 2.,13
2020. 6. 1.,16
2020. 5. 31.,12
2020. 5. 30.,10
2020. 5. 29.,15
2020. 5. 28.,21
2020. 5. 27.,21
2020. 5. 26.,5
2020. 5. 25.,2
2020. 5. 24.,6
2020. 5. 23.,7
2020. 5. 22.,13
2020. 5. 21.,3
2020. 5. 20.,4
2020. 5. 19.,8
2020. 5. 18.,2
2020. 5. 17.,2
2020. 5. 16.,1
2020. 5. 15.,3
2020. 5. 14.,4
2020. 5. 13.,6
2020. 5. 12.,2
2020. 5. 11.,8
2020. 5. 10.,4
2020. 5. 9.,6
2020. 5. 8.,4
2020. 5. 7.,2
2020. 5. 6.,1
2020. 5. 3.,1
2020. 5. 2.,2
2020. 4. 30.,1
2020. 4. 29.,1
2020. 4. 28.,2
2020. 4. 27.,2
2020. 4. 26.,3
2020. 4. 25.,7
2020. 4. 24.,2
2020. 4. 23.,1
2020. 4. 22.,1
2020. 4. 20.,2
2020. 4. 19.,2
2020. 4. 17.,4
2020. 4. 16.,1
2020. 4. 15.,3
2020. 4. 14.,5
2020. 4. 13.,7
2020. 4. 12.,4
2020. 4. 11.,6
2020. 4. 10.,8
2020. 4. 9.,8
2020. 4. 8.,9
2020. 4. 7.,8
2020. 4. 6.,8
2020. 4. 5.,7
2020. 4. 4.,13
2020. 4. 3.,17
2020. 4. 2.,25
2020. 4. 1.,20
2020. 3. 31.,23
2020. 3. 30.,12
2020. 3. 29.,11
2020. 3. 28.,20
2020. 3. 27.,19
2020. 3. 26.,13
2020. 3. 25.,14
2020. 3. 24.,24
2020. 3. 23.,12
2020. 3. 22.,14
2020. 3. 21.,16
2020. 3. 20.,11
2020. 3. 19.,13
2020. 3. 18.,20
2020. 3. 17.,15
2020. 3. 16.,33
2020. 3. 15.,20
2020. 3. 14.,10
2020. 3. 13.,15
2020. 3. 12.,6
2020. 3. 11.,5
2020. 3. 10.,10
2020. 3. 9.,12
2020. 3. 8.,12
2020. 3. 7.,6
2020. 3. 6.,13
2020. 3. 5.,11
2020. 3. 4.,10
2020. 3. 3.,8
2020. 3. 2.,2
2020. 3. 1.,2
2020. 2. 29.,11
2020. 2. 28.,8
2020. 2. 27.,13
2020. 2. 26.,9
2020. 2. 25.,6
2020. 2. 24.,9
2020. 2. 23.,10
2020. 2. 22.,8
2020. 2. 21.,2
2020. 2. 20.,1
2020. 2. 18.,1
2020. 2. 10.,1
2020. 2. 9.,3
2020. 2. 5.,2
2020. 2. 2.,2
2020. 2. 1.,1
2020. 1. 27.,1
2020. 1. 26.,1
