,날짜,확진자수
0,2020-08-28,371
1,2020-08-27,441
2,2020-08-26,320
3,2020-08-25,280
4,2020-08-24,266
5,2020-08-23,397
6,2020-08-22,332
7,2020-08-21,324
8,2020-08-20,288
9,2020-08-19,297
10,2020-08-18,246
11,2020-08-17,197
12,2020-08-16,279
13,2020-08-15,166
14,2020-08-14,103
15,2020-08-13,56
16,2020-08-12,54
17,2020-08-11,34
18,2020-08-10,28
19,2020-08-09,36
20,2020-08-08,43
21,2020-08-07,20
22,2020-08-06,43
23,2020-08-05,33
24,2020-08-04,34
25,2020-08-03,23
26,2020-08-02,30
27,2020-08-01,31
28,2020-07-31,36
29,2020-07-30,18
30,2020-07-29,48
31,2020-07-28,28
32,2020-07-27,25
33,2020-07-26,58
34,2020-07-25,113
35,2020-07-24,41
36,2020-07-23,59
37,2020-07-22,63
38,2020-07-21,45
39,2020-07-20,26
40,2020-07-19,34
41,2020-07-18,39
42,2020-07-17,60
43,2020-07-16,61
44,2020-07-15,39
45,2020-07-14,33
46,2020-07-13,62
47,2020-07-12,44
48,2020-07-11,35
49,2020-07-10,45
50,2020-07-09,50
51,2020-07-08,62
52,2020-07-07,44
53,2020-07-06,48
54,2020-07-05,59
55,2020-07-04,63
56,2020-07-03,63
57,2020-07-02,54
58,2020-07-01,51
59,2020-06-30,42
60,2020-06-29,42
61,2020-06-28,62
62,2020-06-27,51
63,2020-06-26,39
64,2020-06-25,28
65,2020-06-24,51
66,2020-06-23,46
67,2020-06-22,17
68,2020-06-21,48
69,2020-06-20,67
70,2020-06-19,49
71,2020-06-18,59
72,2020-06-17,43
73,2020-06-16,34
74,2020-06-15,37
75,2020-06-14,33
76,2020-06-13,49
77,2020-06-12,55
78,2020-06-11,45
79,2020-06-10,50
80,2020-06-09,38
81,2020-06-08,38
82,2020-06-07,57
83,2020-06-06,51
84,2020-06-05,39
85,2020-06-04,39
86,2020-06-03,49
87,2020-06-02,38
88,2020-06-01,35
89,2020-05-31,27
90,2020-05-30,39
91,2020-05-29,58
92,2020-05-28,79
93,2020-05-27,40
94,2020-05-26,19
95,2020-05-25,16
96,2020-05-24,25
97,2020-05-23,23
98,2020-05-22,20
99,2020-05-21,12
100,2020-05-20,32
101,2020-05-19,13
102,2020-05-18,15
103,2020-05-17,13
104,2020-05-16,19
105,2020-05-15,27
106,2020-05-14,29
107,2020-05-13,26
108,2020-05-12,27
109,2020-05-11,35
110,2020-05-10,34
111,2020-05-09,18
112,2020-05-08,12
113,2020-05-07,4
114,2020-05-06,2
115,2020-05-05,3
116,2020-05-04,8
117,2020-05-03,13
118,2020-05-02,6
119,2020-05-01,9
120,2020-04-30,4
121,2020-04-29,9
122,2020-04-28,14
123,2020-04-27,10
124,2020-04-26,10
125,2020-04-25,10
126,2020-04-24,6
127,2020-04-23,8
128,2020-04-22,11
129,2020-04-21,9
130,2020-04-20,13
131,2020-04-19,8
132,2020-04-18,18
133,2020-04-17,22
134,2020-04-16,22
135,2020-04-15,27
136,2020-04-14,27
137,2020-04-13,25
138,2020-04-12,32
139,2020-04-11,30
140,2020-04-10,27
141,2020-04-09,39
142,2020-04-08,53
143,2020-04-07,47
144,2020-04-06,47
145,2020-04-05,81
146,2020-04-04,94
147,2020-04-03,86
148,2020-04-02,89
149,2020-04-01,101
150,2020-03-31,125
151,2020-03-30,78
152,2020-03-29,105
153,2020-03-28,146
154,2020-03-27,91
155,2020-03-26,104
156,2020-03-25,100
157,2020-03-24,76
158,2020-03-23,64
159,2020-03-22,98
160,2020-03-21,147
161,2020-03-20,87
162,2020-03-19,152
163,2020-03-18,93
164,2020-03-17,84
165,2020-03-16,74
166,2020-03-15,76
167,2020-03-14,107
168,2020-03-13,110
169,2020-03-12,114
170,2020-03-11,242
171,2020-03-10,131
172,2020-03-09,248
173,2020-03-08,367
174,2020-03-07,483
175,2020-03-06,518
176,2020-03-05,438
177,2020-03-04,516
178,2020-03-03,600
179,2020-03-02,476
180,2020-03-01,586
181,2020-02-29,813
182,2020-02-28,561
183,2020-02-27,515
184,2020-02-26,284
185,2020-02-25,144
186,2020-02-24,231
187,2020-02-23,169
188,2020-02-22,229
189,2020-02-21,100
190,2020-02-20,53
191,2020-02-19,20
192,2020-02-18,1
193,2020-02-17,1
194,2020-02-16,1
195,2020-02-15,0
196,2020-02-14,0
197,2020-02-13,0
198,2020-02-12,0
199,2020-02-11,1
200,2020-02-10,0
201,2020-02-09,3
202,2020-02-08,0
203,2020-02-07,1
204,2020-02-06,5
205,2020-02-05,2
206,2020-02-04,1
207,2020-02-03,0
208,2020-02-02,3
209,2020-02-01,8
210,2020-01-30,0
211,2020-01-29,0
212,2020-01-28,0
213,2020-01-27,1
214,2020-01-26,1
215,2020-01-24,1
216,2020-01-23,1
